"","continent","year","energy_type","meanconsmp"
"574","Europe",1991,"coal",238.890575757576
"575","Europe",1991,"nuclear",87.3552121212121
"576","Europe",1991,"renewable",54.7588484848485
"577","Europe",1992,"coal",224.454090909091
"578","Europe",1992,"nuclear",87.8659393939394
"579","Europe",1992,"renewable",56.6746060606061
"580","Europe",1993,"coal",208.034181818182
"581","Europe",1993,"nuclear",90.8987272727273
"582","Europe",1993,"renewable",58.3775151515151
"583","Europe",1994,"coal",193.169848484849
"584","Europe",1994,"nuclear",88.3795454545455
"585","Europe",1994,"renewable",59.306696969697
"586","Europe",1995,"coal",189.226636363636
"587","Europe",1995,"nuclear",90.6122727272727
"588","Europe",1995,"renewable",59.8476363636364
"589","Europe",1996,"coal",183.194818181818
"590","Europe",1996,"nuclear",96.0612727272727
"591","Europe",1996,"renewable",55.7702727272727
"592","Europe",1997,"coal",174.608212121212
"593","Europe",1997,"nuclear",96.8854848484849
"594","Europe",1997,"renewable",58.6428787878788
"595","Europe",1998,"coal",167.462545454545
"596","Europe",1998,"nuclear",95.7589090909091
"597","Europe",1998,"renewable",61.4109393939394
"598","Europe",1999,"coal",161.095878787879
"599","Europe",1999,"nuclear",97.8390606060606
"600","Europe",1999,"renewable",62.8371818181818
"601","Europe",2000,"coal",164.818242424242
"602","Europe",2000,"nuclear",99.2876363636364
"603","Europe",2000,"renewable",66.5125151515151
"604","Europe",2001,"coal",163.964696969697
"605","Europe",2001,"nuclear",101.938242424242
"606","Europe",2001,"renewable",67.7061212121212
"607","Europe",2002,"coal",163.493090909091
"608","Europe",2002,"nuclear",102.788090909091
"609","Europe",2002,"renewable",62.874
"610","Europe",2003,"coal",168.389303030303
"611","Europe",2003,"nuclear",103.620818181818
"612","Europe",2003,"renewable",60.3842424242424
"613","Europe",2004,"coal",163.864787878788
"614","Europe",2004,"nuclear",103.962757575758
"615","Europe",2004,"renewable",66.0319696969697
"616","Europe",2005,"coal",159.053181818182
"617","Europe",2005,"nuclear",102.675090909091
"618","Europe",2005,"renewable",68.2719090909091
"619","Europe",2006,"coal",164.740666666667
"620","Europe",2006,"nuclear",102.423454545455
"621","Europe",2006,"renewable",69.3762121212121
"622","Europe",2007,"coal",164.643212121212
"623","Europe",2007,"nuclear",97.8684545454546
"624","Europe",2007,"renewable",73.7387878787879
"625","Europe",2008,"coal",158.349787878788
"626","Europe",2008,"nuclear",97.4454545454545
"627","Europe",2008,"renewable",77.7757575757576
"628","Europe",2009,"coal",140.417909090909
"629","Europe",2009,"nuclear",92.8764545454545
"630","Europe",2009,"renewable",80.1845454545455
"631","Europe",2010,"coal",145.227818181818
"632","Europe",2010,"nuclear",95.0078181818182
"633","Europe",2010,"renewable",85.8658181818182
"634","Europe",2011,"coal",150.506121212121
"635","Europe",2011,"nuclear",94.0078787878788
"636","Europe",2011,"renewable",85.0385151515152
"637","Europe",2012,"coal",154.712060606061
"638","Europe",2012,"nuclear",91.7829393939394
"639","Europe",2012,"renewable",94.0743636363636
"640","Europe",2013,"coal",148.974878787879
"641","Europe",2013,"nuclear",89.9183333333333
"642","Europe",2013,"renewable",100.631787878788
"643","Europe",2014,"coal",139.122636363636
"644","Europe",2014,"nuclear",90.4954545454545
"645","Europe",2014,"renewable",103.127515151515
"646","Europe",2015,"coal",135.163393939394
"647","Europe",2015,"nuclear",89.2115454545455
"648","Europe",2015,"renewable",105.123909090909
"649","Europe",2016,"coal",128.327848484848
"650","Europe",2016,"nuclear",86.7820909090909
"651","Europe",2016,"renewable",107.180242424242
"652","Europe",2017,"coal",122.320545454545
"653","Europe",2017,"nuclear",86.3079696969697
