"","continent","year","energy_type","meanconsmp"
"478","Oceania",1983,"low_carbon",47.185
"479","Oceania",1984,"fossil",466.6345
"480","Oceania",1984,"low_carbon",49.6705
"481","Oceania",1985,"fossil",470.869
"482","Oceania",1985,"low_carbon",49.7155
"483","Oceania",1986,"fossil",488.6385
"484","Oceania",1986,"low_carbon",53.26
"485","Oceania",1987,"fossil",503.352
"486","Oceania",1987,"low_carbon",52.46
"487","Oceania",1988,"fossil",525.859
"488","Oceania",1988,"low_carbon",55.272
"489","Oceania",1989,"fossil",541.128
"490","Oceania",1989,"low_carbon",55.394
"491","Oceania",1990,"fossil",562.274
"492","Oceania",1990,"low_carbon",57.379
"493","Oceania",1991,"fossil",559.775
"494","Oceania",1991,"low_carbon",58.414
"495","Oceania",1992,"fossil",567.4595
"496","Oceania",1992,"low_carbon",56.2195
"497","Oceania",1993,"fossil",581.3125
"498","Oceania",1993,"low_carbon",60.3485
"499","Oceania",1994,"fossil",605.4215
"500","Oceania",1994,"low_carbon",63.1165
"501","Oceania",1995,"fossil",622.623
"502","Oceania",1995,"low_carbon",64.864
"503","Oceania",1996,"fossil",640.219
"504","Oceania",1996,"low_carbon",63.562
"505","Oceania",1997,"fossil",659.331
"506","Oceania",1997,"low_carbon",59.69
"507","Oceania",1998,"fossil",670.3745
"508","Oceania",1998,"low_carbon",62.9995
"509","Oceania",1999,"fossil",701.049
"510","Oceania",1999,"low_carbon",60.7865
"511","Oceania",2000,"fossil",706.024
"512","Oceania",2000,"low_carbon",63.2935
"513","Oceania",2001,"fossil",716.033
"514","Oceania",2001,"low_carbon",58.489
"515","Oceania",2002,"fossil",724.923
"516","Oceania",2002,"low_carbon",63.2815
"517","Oceania",2003,"fossil",732.9095
"518","Oceania",2003,"low_carbon",62.045
"519","Oceania",2004,"fossil",753.282
"520","Oceania",2004,"low_carbon",67.926
"521","Oceania",2005,"fossil",749.789
"522","Oceania",2005,"low_carbon",64.988
"523","Oceania",2006,"fossil",791.953
"524","Oceania",2006,"low_carbon",66.2565
"525","Oceania",2007,"fossil",800.6835
"526","Oceania",2007,"low_carbon",66.8105
"527","Oceania",2008,"fossil",813.546
"528","Oceania",2008,"low_carbon",66.6875
"529","Oceania",2009,"fossil",799.837
"530","Oceania",2009,"low_carbon",73.605
"531","Oceania",2010,"fossil",797.643
"532","Oceania",2010,"low_carbon",81.199
"533","Oceania",2011,"fossil",813.299
"534","Oceania",2011,"low_carbon",93.515
"535","Oceania",2012,"fossil",808.9845
"536","Oceania",2012,"low_carbon",88.859
"537","Oceania",2013,"fossil",809.0625
"538","Oceania",2013,"low_carbon",95.0365
"539","Oceania",2014,"fossil",827.3715
"540","Oceania",2014,"low_carbon",93.636
"541","Oceania",2015,"fossil",836.7385
"542","Oceania",2015,"low_carbon",97.444
"543","Oceania",2016,"fossil",836.193
"544","Oceania",2016,"low_carbon",105.09
"545","Oceania",2017,"fossil",840.3775
"546","Oceania",2017,"low_carbon",100.8765
"547","Oceania",2018,"fossil",842.178
"548","Oceania",2018,"low_carbon",115.306
"549","Oceania",2019,"fossil",896.167
"550","Oceania",2019,"low_carbon",121.325
